Date publication;Type de publication;Titre;Libellé recommandation;Destinataire 1;Destinataire 2;Destinataire 3
18/09/2015;RALFSS;L'insuffisance rénale chronique terminale : favoriser des prises en charge plus efficientes;Mettre un terme à la pratique de la priorité locale pour l'allocation d'une partie des reins prélevés sur les donneurs décédés, dès la mise en ?uvre des recommandations visant à harmoniser les pratiques d'inscription sur les listes d'attente de greffe, en cours d'élaboration par la Haute Autorité de santé.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles;Documenter précisément par sous-objectif les mesures d'économies structurelles prévues pour assurer la réalisation de la trajectoire pluriannuelle de l'ONDAM.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles;Insérer, dans les projets de loi de financement de la sécurité sociale, une annexe consacrée à la méthode de construction de l'ONDAM, qui comporte l'ensemble des informations pertinentes sur les choix ayant conduit à la détermination de la base et à la fixation des tendanciels par sous-objectif, ainsi qu'une présentation des méthodes d'évaluation des économies prévues et de leur réalisation (recommandation réitérée).;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles;Intégrer à l'ONDAM les dépenses d'indemnités journalières maternité/paternité (recommandation réitérée).;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles;Évaluer a posteriori les tendanciels pris en compte dans la construction de l'ONDAM annuel afin d'affiner leur méthodologie en vue de l'élaboration des objectifs ultérieurs.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles;Instaurer des dispositifs plus complets de suivi et de régulation infra-annuels des dépenses de soins de ville en examinant à ce titre et dans la perspective des négociations conventionnelles à venir, l'éventualité d'affecter à une réserve prudentielle en cas d'augmentation tarifaire une partie des montants financiers en cause.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles;Abaisser le niveau du seuil d'alerte afin qu'il conserve son efficacité et son rôle de régulation de la dépense d'assurance maladie (recommandation réitérée).;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;La qualité des comptes des établissements publics de santé : une exigence à confirmer pleinement;Évaluer chaque année au plan national les incidences des changements comptables sur les résultats agrégés et les situations nettes cumulées des établissements publics de santé pris dans leur ensemble (à partir notamment d'informations explicites à faire figurer dans leurs annexes).;Ministère chargé de la Santé et des affaires sociales;Ministère chargé de l'Économie et des Finances; 
18/09/2015;RALFSS;La qualité des comptes des établissements publics de santé : une exigence à confirmer pleinement;Évaluer au plan national, dans le cadre d'un échantillon représentatif d'opérations, la fréquence et l'incidence financière des anomalies de toute nature affectant l'application de la tarification à l'activité par les hôpitaux publics.;Ministère chargé de la Santé et des affaires sociales;Ministère chargé de l'Économie et des Finances; 
18/09/2015;RALFSS;La qualité des comptes des établissements publics de santé : une exigence à confirmer pleinement;Formaliser une méthode de provisionnement des emprunts structurés.;Ministère chargé de la Santé et des affaires sociales;Ministère chargé de l'Économie et des Finances; 
18/09/2015;RALFSS;La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo;Définir par branche et activité, pour la prochaine génération de COG, un schéma cible d'organisation géographique et fonctionnelle différenciant les ressorts territoriaux et les périmètres d'activités des organismes de base, en prenant notamment en compte les possibilités de gestion dématérialisée de la production.;Ministère chargé de la Santé et des affaires sociales;Caisses nationales;Agence Centrale des Organismes de Sécurité Sociale
18/09/2015;RALFSS;La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo;Fixer des objectifs contraignants aux caisses nationales pour réduire vigoureusement les écarts de taille et de coût entre organismes en définissant une dimension critique minimale pour le maintien de sites en activité et la pérennisation d'organismes distincts et en alignant les moins performants sur les meilleurs.;Ministère chargé de la Santé et des affaires sociales;Caisses nationales;Agence Centrale des Organismes de Sécurité Sociale
18/09/2015;RALFSS;La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo;Recentrer les mutualisations sur les processus de production et les fonctions support à enjeux significatifs de productivité, en attribuant notamment aux caisses concernées des blocs de compétence cohérents.;Ministère chargé de la Santé et des affaires sociales;Caisses nationales; 
18/09/2015;RALFSS;La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo;Renégocier l'accord relatif aux garanties conventionnelles apportées dans le cadre de l'évolution des réseaux afin de favoriser une plus grande mobilité géographique et fonctionnelle des agents.;Ministère chargé de la Santé et des affaires sociales;Union des caisses nationales de sécurité sociale; 
18/09/2015;RALFSS;La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo;Mettre en ?uvre la convention cadre de performance de l'article L. 114-23 du code de la sécurité sociale pour développer les mutualisations interbranches et inter-régimes.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté;Redéfinir la trajectoire de réduction des déficits en fonction d'un objectif réaffirmé et d'un calendrier réajusté de retour rapide à l'équilibre des comptes de la sécurité sociale.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté;Renforcer les mesures structurelles d'économies, telles que celles recommandées dans les différents chapitres du présent rapport, afin de réduire durablement le rythme de progression des dépenses.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté;Organiser sans attendre davantage la reprise par la CADES des déficits des branches maladie et famille actuellement portés par l'ACOSS et de ceux des années à venir, en prévoyant, conformément aux dispositions de la loi organique du 13 novembre 2010 relative à la gestion de la dette sociale, les recettes nécessaires à l'amortissement complet de la dette sociale à son terme prévu.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté;Mettre fin au sous-financement structurel du FSV (recommandation réitérée).;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire;Confier à la direction générale de l'offre de soins la responsabilité de concevoir la stratégie de recomposition de l'offre de soins et de veiller à sa mise en ?uvre par l'intermédiaire des agences régionales de santé et clarifier, dans les textes réglementaires, la répartition des compétences entre le secrétariat général, la direction générale de l'offre de soins et les autres directions du ministère des affaires sociales et de la santé.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire;Associer la direction générale de l'offre de soins à l'élaboration de la convention d'objectifs et de gestion de la CNAMTS avec l'État et à la politique conventionnelle avec les professions de santé pour tout ce qui concerne l'organisation de l'offre de soins.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire;Repenser l'organisation interne de la direction générale de l'offre de soins en engageant une remise à plat des profils de postes, en restructurant des sous-directions et en réduisant significativement ses effectifs.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire;Recentrer la composition du comité national de pilotage des ARS, sous la présidence régulière du ministre de la santé, sur le secrétaire général, les directeurs du ministère les plus concernés (DGOS, DGCS, DGS et DSS), le directeur général de la CNAMTS et le directeur de la CNSA et l'élargir aux directeurs généraux des ARS.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Les centres de lutte contre le cancer : un positionnement à redéfinir dans l'offre de soins;aîtriser rigoureusement les charges de fonctionnement des CLCC pour rétablir leur équilibre financier et leur capacité à investir, en particulier dans les centres les plus fragiles.;Ministère chargé de la Santé et des affaires sociales;UNICANCER; 
18/09/2015;RALFSS;Les centres de lutte contre le cancer : un positionnement à redéfinir dans l'offre de soins;Examiner les possibilités de fusion entre CLCC, et de coopération renforcée avec les CHU n'excluant pas la fusion avec ces derniers, notamment ceux faisant l'objet d'opérations de restructuration immobilière.;Ministère chargé de la Santé et des affaires sociales;UNICANCER; 
18/09/2015;RALFSS;Les cotisations sociales : une place prépondrante mais en déclin dans le financement de la sécurité sociale, une cohérence et une lisibilité à réablir;Harmoniser progressivement les efforts contributifs entre les cotisants au régime général et ceux aux régimes qui lui sont financièrement intégrés.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Les cotisations sociales : une place prépondrante mais en déclin dans le financement de la sécurité sociale, une cohérence et une lisibilité à réablir;Redéfinir à l'occasion de la transformation du CICE en allègements généraux de charges le barème des cotisations sociales, de manière à supprimer toute déconnexion entre taux affichés et cotisations effectives.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Les cotisations sociales : une place prépondrante mais en déclin dans le financement de la sécurité sociale, une cohérence et une lisibilité à réablir;Prendre en considération, à l'occasion de la transformation du CICE en allègements généraux de charges, la logique contributive de financement des régimes de retraites complémentaires et d'assurance chômage et celle, de nature assurantielle, de financement du risque AT-MP.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Les dépenses de soins infirmierts et de masso-kinésithérapie en exercice libéral : une progression non maîtrisée, des mesures de régulation à prendre sans délai;Assurer une régulation rigoureuse du niveau global et de la répartition géographique de l'offre en réformant la procédure de fixation des quotas d'entrée en formation, en étendant et en durcissant la procédure de conventionnement sélectif dans les zones sur-dotées et en modulant la prise en charge des cotisations sociales selon le lieu d'installation.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS; 
18/09/2015;RALFSS;Les dépenses de soins infirmierts et de masso-kinésithérapie en exercice libéral : une progression non maîtrisée, des mesures de régulation à prendre sans délai;Mettre en place une politique de gestion du risque, en analysant les déterminants de la dépense, en rénovant la nomenclature des actes professionnels, en déployant des actions de maîtrise médicalisée en direction à la fois des médecins prescripteurs et des auxiliaires médicaux, en renforçant les contrôles des caisses d'assurance maladie et en sanctionnant les pratiques fautives.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS; 
18/09/2015;RALFSS;Les dépenses de soins infirmierts et de masso-kinésithérapie en exercice libéral : une progression non maîtrisée, des mesures de régulation à prendre sans délai;Définir des objectifs quantifiés d'évolution des dépenses.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS; 
18/09/2015;RALFSS;Les dépenses de soins infirmierts et de masso-kinésithérapie en exercice libéral : une progression non maîtrisée, des mesures de régulation à prendre sans délai;Engager une réforme structurelle des modalités de rémunération par la définition de forfaits par patient pour la prise en charge de certains types de pathologies.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS; 
18/09/2015;RALFSS;Les dépenses de soins infirmierts et de masso-kinésithérapie en exercice libéral : une progression non maîtrisée, des mesures de régulation à prendre sans délai;Instaurer une enveloppe de prescriptions par médecin en fonction des caractéristiques de sa patientèle et assortie de mécanismes de responsabilisation des prescripteurs et des dispensateurs de soins permettant d'en assurer le respect.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS; 
18/09/2015;RALFSS;Les maternités : une réorganisation à poursuivre activement;Contrôler le respect rigoureux des normes de fonctionnement dans les maternités bénéficiant d'une autorisation d'ouverture par dérogation malgré un nombre annuel d'accouchements inférieur à 300 et plus largement dans l'ensemble des petites maternités et les fermer sans délai en cas d'absence de mise en conformité immédiate.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Les maternités : une réorganisation à poursuivre activement;Mieux organiser la prise en charge des grossesses à risque, en renforçant l'efficacité des réseaux de périnatalité et en donnant priorité à l'admission en maternités de type III des parturientes dans cette situation.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Les maternités : une réorganisation à poursuivre activement;Systématiser l'analyse des résultats de périnatalité des maternités et subordonner en cas de résultats dégradés la poursuite de l'activité à la mise en ?uvre des mesures correctrices appropriées.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Les maternités : une réorganisation à poursuivre activement;Définir un schéma cible d'organisation à moyen terme des maternités, reposant notamment sur une analyse de l'opportunité d'une réappréciation à la hausse des seuils d'activité et sur une objectivation du bon dimensionnement et de l'articulation des maternités pour optimiser les prises en charge.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Les maternités : une réorganisation à poursuivre activement;Réduire la durée moyenne de séjour grâce notamment à un meilleur accompagnement du retour à domicile des mères et mettre fin à la sous-occupation des maternités en supprimant les lits inutiles et les moyens qui y sont affectés.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Les tableaux d'équilibre et le tableau patrimonial de la sécuité sociale relatifs à 2014 : un avis sur la cohérence;Supprimer le tableau d'équilibre des organismes concourant au financement des régimes de sécurité sociale et intégrer une rubrique propre au fonds de solidarité vieillesse (FSV) dans les tableaux d'équilibre de l'ensemble des régimes obligatoires de base de sécurité sociale d'une part et du régime général de sécurité sociale d'autre part (recommandation réitérée).;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Les tableaux d'équilibre et le tableau patrimonial de la sécuité sociale relatifs à 2014 : un avis sur la cohérence;Assurer l'information du Parlement sur la formation des résultats retracés par les tableaux d'équilibre en intégrant à l'annexe 4 au projet de loi de financement des informations littéraires et chiffrées détaillées sur la consistance et l'évolution des produits (« recettes ») et des charges (« dépenses »), sur le modèle de l'annexe 9 au PLFSS pour ce qui concerne le tableau patrimonial (recommandation réitérée).;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Les tableaux d'équilibre et le tableau patrimonial de la sécuité sociale relatifs à 2014 : un avis sur la cohérence;Mettre fin sans délai aux contractions de produits et de charges dans les tableaux d'équilibre, en contrariété avec le cadre normatif fixé par la loi organique relative aux lois de financement de la sécurité sociale pour l'établissement des comptes des régimes obligatoires de base de sécurité sociale (recommandation réitérée).;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Vingt ans de recomposition territoriale de l'offre de soins : un bilan décevant;Pour les soins en établissement, généraliser chaque fois que pertinent (médecine, chirurgie), des normes d'équipement, de personnel ou d'activité dans les disciplines qui en sont dépourvues, vérifier la conformité des normes en vigueur aux recommandations internationales et les faire respecter rigoureusement.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Vingt ans de recomposition territoriale de l'offre de soins : un bilan décevant;Étendre dans les zones en surdensité le conventionnement conditionnel à toutes les professions de santé, y compris aux médecins, afin de mieux équilibrer leur répartition sur le territoire (recommandation réitérée).;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Vingt ans de recomposition territoriale de l'offre de soins : un bilan décevant;Accroître les ressources consacrées par le fonds d'intervention régional au financement des actions qui décloisonnent l'offre de soins entre établissements et ville et concourent à une prise en charge intégrée des parcours des patients.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Vingt ans de recomposition territoriale de l'offre de soins : un bilan décevant;Confier aux agences régionales de santé, dans le maillage issu de la nouvelle carte des régions administratives, la mission de veiller au respect d'une trajectoire pluriannuelle de maîtrise des dépenses d'assurance maladie sur leur territoire, de manière indicative dans un premier temps.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;Vingt ans de recomposition territoriale de l'offre de soins : un bilan décevant;Permettre aux agences régionales de santé de décliner certains éléments des politiques conventionnelles au niveau régional dans un cadre défini au plan national et dans la limite d'une enveloppe financière prédéterminée.;Ministère chargé de la Santé et des affaires sociales; ; 
27/05/2015;RBDE;Le budget de l'Etat en 2014 - Résultats et gestion;Faire figurer, en loi de finances initiale et en loi de règlement, la décomposition des soldes, structurel et conjoncturel, de l'article liminaire pour l'Etat comme par sous-secteur d'administrations publiques.;Ministère chargé du Budget et des comptes publics;Ministère chargé du Budget et des comptes publics; 
27/05/2015;RBDE;Le budget de l'Etat en 2014 - Résultats et gestion;Modifier la présentation du tableau d'équilibre des ressources et des dépenses dans les lois de finances en déduisant des recettes fiscales brutes de l'Etat les seuls remboursements et dégrèvements relatifs à des impôts d'Etat pour la détermination des recettes fiscales nettes.;Ministère chargé du Budget et des comptes publics;Ministère chargé du Budget et des comptes publics; 
27/05/2015;RBDE;Le budget de l'Etat en 2014 - Résultats et gestion;Etablir et rendre public un document de référence précisant les méthodes et le processus de prévision des recttes pour les principaux impôts.;Ministère chargé du Budget et des comptes publics;Ministère chargé du Budget et des comptes publics; 
27/05/2015;RBDE;Le budget de l'Etat en 2014 - Résultats et gestion;Réaliser et publier dans l'annexe Voies et moyens du projet de loi de finances, des analyses approfondies des écarts entre prévision  et exécution de recettes fiscales.;Ministère chargé du Budget et des comptes publics;Ministère chargé du Budget et des comptes publics; 
27/05/2015;RBDE;Le budget de l'Etat en 2014 - Résultats et gestion;Procéder à l'évaluation exhaustive des dépenses fiscales au cours des cinq années de la loi de programmation 2015-2019.;Ministère chargé du Budget et des comptes publics;Ministère chargé du Budget et des comptes publics; 
27/05/2015;RBDE;Le budget de l'Etat en 2014 - Résultats et gestion;Compléter les documents budgétaires (PAP et RAP) en classant les dépenses fiscales en fonction des objectifs du programme auquel elles se rattachent.;Ministère chargé du Budget et des comptes publics;Ministère chargé du Budget et des comptes publics; 
27/05/2015;RBDE;Le budget de l'Etat en 2014 - Résultats et gestion;Elargir le périmètre des normes de dépenses aux comptes d'affectation spéciale dont les dépenses ne présentent pas de différence de nature avec celles du budget général (une fraction des dépenses de Gestion du patrimoine immobilier de l'Etat, la totalité des dépenses de Gestion de valorisation des ressources tirées de l'utilisation du spectre hertzien), et à la variation du solde du CAS Pensions.;Ministère chargé du Budget et des comptes publics;Ministère chargé du Budget et des comptes publics; 
27/05/2015;RBDE;Le budget de l'Etat en 2014 - Résultats et gestion;Elargir le périmètre des normes de dépenses aux décaissements annuels effectués par les opérateurs au titre des dotations consommables ainsi qu'aux intérêts versés au titre des dotations non consommables, dans le cadre des programmes d'investissements d'avenir.;Ministère chargé du Budget et des comptes publics;Ministère chargé du Budget et des comptes publics; 
27/05/2015;RBDE;Le budget de l'Etat en 2014 - Résultats et gestion;Produire des données consolidées relatives aux dotations budgétaires ainsi qu'aux plafonds et schémas d'emplois des opérateurs, en cours de gestion comme en exécution.;Ministère chargé du Budget et des comptes publics;Ministère chargé du Budget et des comptes publics; 
11/02/2015;RPA T1;L'ouverture du marché de l'électricité à la concurrence;Stabiliser le cadre juridique en mettant effectivement en oeuvre les dernières dispositions issues de la loi de 2010 portant nouvelle organisation du marché de l'électricité (notamment la réforme des tarifs règlementés) selon le calendrier prévu de manière à assurer à tous les acteurs du marché la visibilité nécessaire;Ministère chargé de l'Écologie et du développement durable;Ministère chargé de l'Énergie; 
11/02/2015;RPA T1;L'ouverture du marché de l'électricité à la concurrence;Renforcer la légitimité de la CRE en stabilisant la composition de son collège, en confortant ses prérogatives de proposition, de consultation et de décision et en l'incitant à utiliser pleinement ses pouvoirs de sanction;Ministère chargé de l'Écologie et du développement durable;Ministère chargé de l'Énergie; 
11/02/2015;RPA T1;L'ouverture du marché de l'électricité à la concurrence;Recentrer et dynamiser l'information publique vers les particuliers sur l'ouverture à la concurrence;Ministère chargé de l'Écologie et du développement durable;Ministère chargé de l'Énergie; 
11/02/2015;RPA T1;L'ouverture du marché de l'électricité à la concurrence;Renforcer la séparation des activités régulées de distribution d'électricité et les activités ouvertes à la concurrence en accroissant significativement l'indépendance de gestion d'ERDF par rapport à l'opérateur historique;Ministère chargé de l'Écologie et du développement durable;Ministère chargé de l'Énergie; 
11/02/2015;RPA T1;L'ouverture du marché de l'électricité à la concurrence;Mener à terme les initiatives déjà engagées visant à lever les obstacles à l'ouverture du segment de la production en renouvelant les concessions hydroélectriques et en faisant évoluer la politique de soutien aux énergies renouvelables;Ministère chargé de l'Écologie et du développement durable;Ministère chargé de l'Énergie; 
11/02/2015;RPA T1;L'ouverture du marché de l'électricité à la concurrence;Engager dès maintenant la réflexion sur l'avenir du mécanisme de l'ARENH;Ministère chargé de l'Écologie et du développement durable;Ministère chargé de l'Énergie; 
11/02/2015;RPA T1;L'ouverture du marché de l'électricité à la concurrence;Veiller à ce que les nouveaux dispositifs en cours de déploiement n'induisent pas de distorsion de concurrence (marchés de capacité et compteurs communicants) et dans le cas du projet LINKY, permettre à tous les fournisseurs de développer des offres commerciales ciblées en fonction des profils des consommateurs;Ministère chargé de l'Écologie et du développement durable;Ministère chargé de l'Énergie; 
01/02/2015;RPA T1;La gestion du CESE;placer le CESE sous un régime budgétaire et comptable conforme aux dispositions du décret du 7 novembre 2012;CESE;CESE; 
01/02/2015;RPA T1;La gestion du CESE;poursuivre la réorganisation du temps de travail conformément au cadre réglementaire en vigueur;CESE;CESE; 
01/02/2015;RPA T1;La gestion du CESE;donner une assise réglementaire aux dispositifs indemnitaires;CESE;CESE; 
01/02/2015;RPA T1;La gestion du CESE;poursuivre l'ajustement des paramètres de calcul des cotisations et des pensions de retraite (cotisation du double, assiette de calcul, montant de la participation de l'Etat, etc.);CESE;CESE; 
01/02/2015;RPA T1;La gestion du CESE;faire évoluer le régime de retraite des membres vers un régime à cotisations définies, n'engageant pas l'Etat au-delà du financement initialement consenti et applicable à l'ensemble des pensions non encore liquidées;CESE;CESE; 
10/02/2015;RPA T1;La gestion par la France des fonds structurels européens : améliorer, simplifier, évaluer;"concentrer les actions sur un nombre réduit de priorités ;";Ministère chargé du travail et de l'emploi; ; 
10/02/2015;RPA T1;La gestion par la France des fonds structurels européens : améliorer, simplifier, évaluer;"clarifier le rôle respectif des gestionnaires -nationaux et locaux- des différents programmes opérationnels pour la mise en oeuvre des plans d'action ;";Ministère chargé du travail et de l'emploi; ; 
10/02/2015;RPA T1;La gestion par la France des fonds structurels européens : améliorer, simplifier, évaluer;"évaluer les coûts de gestion globaux et par gestionnaire de programme ;";Ministère chargé du travail et de l'emploi; ; 
10/02/2015;RPA T1;La gestion par la France des fonds structurels européens : améliorer, simplifier, évaluer;"réduire le nombre d'organisme intermédiaires ;";Ministère chargé du travail et de l'emploi; ; 
10/02/2015;RPA T1;La gestion par la France des fonds structurels européens : améliorer, simplifier, évaluer;"améliorer la formation et l'accompagnement juridique des agents chargés de la gestion, ainsi que des bénéficiaires, afin de diminuer le risque d'erreur ;";Ministère chargé du travail et de l'emploi; ; 
