"publication";"titre";"destination"
"17";"RPA T1";"améliorer europeens évaluer fonds france gestion simplifier structurels";"Ministère chargé du travail et de l'emploi"
"18";"RPA T1";"contre donner dopage impulsion lutte nouvelle politique publique sport";"Ministère chargé des Sports"
"19";"RPA T1";"agents circuit echec etat paie refonte teux";"Ministère chargé de l'Économie et des Finances"
"20";"RPA T1";"carte judiciaire reforme";"Garde des Sceaux"
"21";"RPA T1";"avenir gestation incertain laborieuse mucem";"Ministère chargé de la Culture et de la Communication"
"22";"RPA T1";"chantier conduite enseignements franciliennes grandes immobilières jussieu operations tirer universités";"Ministère chargé de l'Enseignement supérieur et de la Recherche"
"23";"RPA T1";"agences coherence eau politique retrouver";"Ministère chargé de l'Écologie et du développement durable"
"24";"RPA T1";"actionnariat actions attributions caisse cdc consignations dep dérives dispositif entreprises filiale gratuites public salarié";"Ministère chargé de l'Économie et des Finances"
"25";"RPA T1";"indécision intercites sortir trains";"Ministère chargé des Transports"
"26";"RPA T1";"ambassades auprès france injustifiée survivance tresoreries";"Ministère chargé de l'Économie et des Finances"
"27";"RPA T1";"indispensable modernisation oeuvres reseau scolaires universitaires";"Ministère chargé de l'Enseignement supérieur et de la Recherche"
"28";"RPA T2";"aménagement arche défense etablissement inachevée ordre public remise seine";"Ministère chargé de l'Aménagement du territoire"
"29";"RPA T2";"consolider progrès societé spectacles teau versailles";"Ministère chargé de la Culture et de la Communication"
"30";"RPA T2";"dispositif insuffisamment mage partiel renové utilisé";"Ministère chargé du travail et de l'emploi"
"31";"RPA T2";"affaires bilan étrangères immobilières insatisfaisant ministère operations parisienne région";"Ministère chargé des affaires étrangères et européennes"
"32";"RPA T2";"charge incomplète palliatifs prise soins toujours très";"Ministère chargé de la Santé et des affaires sociales"
"33";"RPA T2";"ameliorations chercheurs encore gestion nécessaires";"Ministère chargé de l'Enseignement supérieur et de la Recherche"
"34";"RPT";"finances locales publiques";"Ministère chargé du Budget et des comptes publics"
"35";"RPT";"finances locales publiques";"Premier Ministre"
"36";"RPT";"finances locales publiques";" "
"37";"RPT";"academies cinq exceptionnel france gestion institut manquant patrimoine rigueur";"Ministre de l'Economie, des Finances et de l'Industrie"
"38";"RPT";"academies cinq exceptionnel france gestion institut manquant patrimoine rigueur";"Institut de France"
"39";"RPT";"curie institut";"Institut Curie"
"40";"RPT";"lycee";"Ministère chargé de l'Éducation nationale"
"41";"RPT";"action coherence donner france ile logement publique";"Ministère chargé du logement"
"42";"RPT";"avenir investissement programme";"Ministère chargé de l'Enseignement supérieur et de la Recherche"
"43";"RPT";"ambition concilier éducatif élèves individualise organisation suivi système";"Ministère chargé de l'Éducation nationale"
"44";"RPT";"complements dispositif état fonctionnaires nouveau outremer refonder rémunération";"Ministère chargé de l'Outre-mer"
"45";"RPT";"emploi epreuve mage masse";"Pôle Emploi"
"46";"RPT";"emploi epreuve mage masse";"Ministère chargé du travail et de l'emploi"
"47";"RPT";"crise france pistes radio raisons reforme";"Radio France"
"48";"Rapport des comptes et de la gestion";"comptes exercices gestion ubifrance";"Ministère chargé des affaires étrangères et européennes"
"49";"Rapport des comptes et de la gestion";"comptes exercices gestion uteam";"Ministère chargé de l'Enseignement supérieur et de la Recherche"
"50";"Rapport des comptes et de la gestion";"comptes exercices gestion uteam";"Université de Compiègne"
"51";"Rapport des comptes et de la gestion";"comptes exercices gestion uteam";"U TEam"
"52";"Rapport des comptes et de la gestion";"afii agence comptes exercices française gestion internationaux investissements";"Ministère chargé de l'Économie et des Finances"
"53";"Rapport des comptes et de la gestion";"afii agence comptes exercices française gestion internationaux investissements";"Agence française pour les investissements internationaux"
"54";"Rapport des comptes et de la gestion";"aérospatiales comptes etudes exercices gestion national office onera recherches";" "
"55";"Rapport des comptes et de la gestion";"artisanale comptes exercices garantie gestion interprofessionnel investissements siagi societé";"Ministère chargé de l'Économie et des Finances"
"56";"Rapport des comptes et de la gestion";"comptes contr electricité exercices gestion groupe strasbourg";"Electricité de Strasbourg"
"57";"Rapport des comptes et de la gestion";"agence andra dechets gestion nationale radioactifs";"Ministre de l'Economie, des Finances et de l'Industrie"
"58";"Rapport des comptes et de la gestion";"agence andra dechets gestion nationale radioactifs";"Ministère chargé de l'Écologie et du développement durable"
"59";"Rapport des comptes et de la gestion";"centrales maintenance nucleaires";"Ministère chargé de l'Énergie"
"60";"Rapport des comptes et de la gestion";"edf exercices internationale strategie";"Ministère chargé de l'Énergie"
"61";"Rapport des comptes et de la gestion";"grand maritime port rouen";"Grand Port maritime de Rouen"
"62";"Rapport des comptes et de la gestion";"activites agents culturelles destinées poste sociales";"La poste"
"63";"Rapport des comptes et de la gestion";"comptes exercices gestion imprimerie nationale";"Premier Ministre"
"64";"Rapport des comptes et de la gestion";"equilibre territoire trains";"Ministère chargé des Transports"
"65";"Rapport des comptes et de la gestion";"activite architecture capa cité comptes gestion particulier patrimoine rapport";"Ministère chargé de la Culture et de la Communication"
"66";"Rapport des comptes et de la gestion";"activite architecture capa cité comptes gestion particulier patrimoine rapport";"Cité de l'architecture et du patrimoine"
"67";"Rapport des comptes et de la gestion";"europe national odéon the thé";"Ministère chargé de la Culture et de la Communication"
"68";"Rapport des comptes et de la gestion";"europe national odéon the thé";"Théâtre national de l'Odéon"
"69";"Rapport des comptes et de la gestion";"aménagement amont epa etablissement orly orsa public rungis seine";"Ministère chargé de l'Aménagement du territoire"
"70";"Rapport des comptes et de la gestion";"aménagement amont epa etablissement orly orsa public rungis seine";"Etablissement public d'aménagement Orly-Rungis-Seine Amont"
"71";"Rapport des comptes et de la gestion";"aménagement epa etablissement france plaine public";"Ministère chargé de l'Aménagement du territoire"
"72";"Rapport des comptes et de la gestion";"aménagement epa etablissement france plaine public";"Grand Paris Aménagement"
"73";"Rapport effectué pour le Parlement";"bilan conventions revitalisation";"Ministère chargé du travail et de l'emploi"
"74";"Rapport effectué pour le Parlement";"action contre douane fraudes lutte trafics";"Ministère chargé de l'Économie et des Finances"
"75";"Rapport effectué pour le Parlement";"autonomie financière poursuivre réforme universites";"Ministère chargé de l'Enseignement supérieur et de la Recherche"
"76";"Rapport effectué pour le Parlement";"cif credit france immobilier";"Ministère chargé de l'Économie et des Finances"
"77";"Rapport effectué pour le Parlement";"complementaire couverture financement fonds maladie protection risque universelle";"Ministère chargé de la Santé et des affaires sociales"
"78";"Rapport effectué pour le Parlement";"conseils etat exterieurs recours";"Premier Ministre"
"79";"Rapport effectué pour le Parlement";"bilan etape insee metz services transfert";"Premier Ministre"
"80";"Rapport effectué pour le Parlement";"aides logement personnelles";"Ministère chargé du logement"
"81";"Rapport effectué pour le Parlement";"contributions france internationales";"Ministère chargé des affaires étrangères et européennes"
"82";"Rapport effectué pour le Parlement";"bois filière for soutiens";"Ministère chargé de l'Agriculture et de l'Alimentation"
"83";"Rapport effectué pour le Parlement";"bois filière for soutiens";"France Bois Forêt"
"84";"Référé";"agence angdm droits garantie mineurs nationale";"Ministère chargé de l'Énergie"
"85";"Référé";"bilan etat immobilière politique";"Premier Ministre"
"86";"Référé";"armees examen fonction restauration";" "
"87";"Référé";"accueil asile demandeurs hebergement";"Ministère de l'Intérieur"
"88";"Référé";"banque caisse consignations dep justice public service";"Garde des Sceaux"
"89";"Référé";"contribution egnos europeens france galileo programmes radionavigation satellite";"Premier Ministre"
"90";"Référé";"fonction inspection justice ministère";"Garde des Sceaux"
"91";"Référé";"fonction gendarmerie judiciaire nationales police";"Ministère de l'Intérieur"
"92";"Référé";"continue enseignants formation";"Ministère chargé de l'Éducation nationale"
"93";"Référé";"agences eau gestion";"Ministère chargé de l'Écologie et du développement durable"
"94";"Référé";"carrières gendarmerie gestion nationales police";"Ministère de l'Intérieur"
"95";"Référé";"dus france gestion imp non residents";"Ministère chargé de l'Économie et des Finances"
"96";"Référé";"gestion penitentiaires personnels";"Garde des Sceaux"
"97";"Référé";"appel compte emploi faisant genérosité organismes publique ressources";"Ministère chargé de l'Éducation nationale"
"98";"Référé";"allègements bas cotisations genéraux patronales pilotage salaires sociales suivi";"Ministère chargé de la Santé et des affaires sociales"
"99";"Référé";"allègements bas cotisations genéraux patronales pilotage salaires sociales suivi";"Ministère chargé de l'Économie et des Finances"
"100";"Référé";"collectivites concours etat exécution fctva financiers gestion prélèvements recettes territoriales";"Ministère de l'Intérieur"
"101";"Référé";"dgac investissements";"Ministère chargé des Transports"
"102";"Référé";"minima sociaux";"Ministère chargé de la Santé et des affaires sociales"
"103";"Référé";"ecoles formation justice ministère";"Garde des Sceaux"
"104";"RALFSS";"assurance depenses maladie national objectif";"Ministère chargé de la Santé et des affaires sociales"
"105";"RALFSS";"pital prescriptions trise";" "
"106";"RALFSS";"autonome caisse mines nationale securité sociale";"Ministère chargé de la Santé et des affaires sociales"
"107";"RALFSS";"autonome caisse mines nationale securité sociale";" "
"108";"RALFSS";"autonome caisse mines nationale securité sociale";"Ministère chargé de l'Économie et des Finances"
"109";"RALFSS";"base certification comptes regimes sécurité sociale";"Ministère chargé de la Santé et des affaires sociales"
"110";"RALFSS";"fonction informatique securité sociale";" "
"111";"RALFSS";"gestion organismes personnels securité sociale";" "
"112";"RALFSS";"hospitaliers information modernisation systèmes";"Ministère chargé de la Santé et des affaires sociales"
"113";"RALFSS";"assures dépenses financement participation santé";"Ministère chargé de la Santé et des affaires sociales"
"114";"RALFSS";"assures dépenses financement participation santé";" "
"115";"RALFSS";"affections charge duree longue prise";" "
"116";"RALFSS";"financières perspectives securité situation sociale";"Ministère chargé de la Santé et des affaires sociales"
"117";"RALFSS";"privé reformes retraites salariés secteur";"Ministère chargé de la Santé et des affaires sociales"
"118";"RALFSS";"bucco dentaires soins";"Ministère chargé de la Santé et des affaires sociales"
"119";"RALFSS";"bucco dentaires soins";" "
"120";"RALFSS";"equilibre patrimonial tableau tableaux";"Ministère chargé de la Santé et des affaires sociales"
"121";"RBDE";"budget etat gestion résultats";"Ministère chargé de l'Économie et des Finances"
"122";"RBDE";"budget etat gestion résultats";"Ministère chargé du Budget et des comptes publics"
"123";"RPA";"inspection modernisation necessaire travail";"Ministère chargé du travail et de l'emploi"
"124";"RPA";"inspection modernisation necessaire travail";"Ministère chargé de la Santé et des affaires sociales"
"125";"RPA";"cadre politique préciser priorités renové ville";"Premier Ministre"
"126";"RPA T1";"cheval conduite equitation extinction français institut mal programmer réforme";"Ministère chargé de l'Agriculture et de l'Alimentation"
"127";"RPA T1";"caisse conçue consignations dép fusion jour lourdes mal operation pertes transdev transport veolia";"Ministère chargé de l'Économie et des Finances"
"128";"RPA T1";"collectif contre echec france fraude lutte transports urbains";"RATP"
"129";"RPA T1";"collectif contre echec france fraude lutte transports urbains";"SNCF"
"130";"RPA T1";"collectif contre echec france fraude lutte transports urbains";"Ministère chargé des Transports"
"131";"RPA T1";"centrales maintenance nucleaires";"Ministère chargé de l'Énergie"
"132";"RPA T1";"défense exceptionnelles financement nationale reduction ressources";"Ministère chargé de l'Économie et des Finances"
"133";"RPA T1";"agricole enseignement public réforme reorganisation supérieur trompe";"Ministère chargé de l'Agriculture et de l'Alimentation"
"134";"RPA T1";"contrat échec genération raisons";"Ministère chargé du travail et de l'emploi"
"135";"RPA T1";"budgétaire contr legalité";"Ministère de l'Intérieur"
"136";"RPA T1";"etat fonds opérateur solidarite supprimer";"Ministère chargé du travail et de l'emploi"
"137";"RPA T1";"etat fonds opérateur solidarite supprimer";"Ministère chargé de l'Économie et des Finances"
"138";"RPA T1";"améliorer calédonie efficience effort état française important nouvelle polynesie scolaire système";"Ministère chargé de l'Éducation nationale"
"139";"RPA T1";"militaires solde versement";"Ministère chargé de l'Économie et des Finances"
"140";"RPA T1";"militaires solde versement";" "
"141";"RPA T1";"accélérer baisse courrier defi face facteurs mutations";"Ministère chargé de l'Économie et des Finances"
"142";"RPA T1";"établissements excellence fragilisés nationaux scènes the";"Ministère chargé de la Culture et de la Communication"
"143";"RPA T1";"consolider dispositif eco organismes original";"Ministère chargé de l'Écologie et du développement durable"
"144";"RPA T2";"cas conséquences dexia extinctive financier fragiles gestion premiers responsabilités resultats sinistre tirer";"Premier Ministre"
"145";"RPA T2";"confirmer contre fiscale fraude lutte progrès";"Ministère chargé de l'Économie et des Finances"
"146";"RPA T2";"consolider contre lutte politique tabagisme";"Ministère chargé de la Santé et des affaires sociales"
"147";"RPA T2";"consolider contre lutte politique tabagisme";" "
"148";"RPA T2";"ajustement archeologie mesures opérateur politique préventive profondeur réformer tardives";"Ministère chargé de la Culture et de la Communication"
"149";"RPA T2";"agricoles aides définir économies organismes payeurs rechercher reforme stratégie";"Ministère chargé de l'Agriculture et de l'Alimentation"
"150";"RPA T2";"agricoles aides définir économies organismes payeurs rechercher reforme stratégie";"Agence de service et de paiement"
"151";"RPA T2";"centre cnfpt fonction national publique territoriale";"Centre national de la fonction publique territoriale"
"152";"RPA T2";"centre cnfpt fonction national publique territoriale";"Ministère de l'Intérieur"
"153";"RPA T2";"adaptations biocarburants nécessaires progrès resultats";"Ministère chargé de l'Écologie et du développement durable"
"154";"RPA T2";"certificats economie énergie";"Ministère chargé de l'Énergie"
"155";"RPA T2";"depuis ferroviaires france insuffisances persistantes progrès sensibles transports";"Ministère chargé des Transports"
"156";"RPA T2";"ordre parachever remise sciences";"Ministère chargé de l'Enseignement supérieur et de la Recherche"
"157";"RPA T2";"ordre parachever remise sciences";"Fondation nationale des sciences politiques"
"158";"RPT";"bpi consolider développement financières france mise perspectives place reussie stabiliser";"BPI France"
"159";"RPT";"bpi consolider développement financières france mise perspectives place reussie stabiliser";"Ministère chargé de l'Économie et des Finances"
"160";"RPT";"finances locales publiques";"Ministère de l'Intérieur"
"161";"RPT";"accélérer entreprise france gérer mieux réformes telévisions";"Ministère chargé de la Culture et de la Communication"
"162";"RPT";"accélérer entreprise france gérer mieux réformes telévisions";"Ministère chargé de l'Économie et des Finances"
"163";"RPT";"accélérer entreprise france gérer mieux réformes telévisions";"France télévisions"
"164";"RPT";"accès adapter aides construire emploi jeunes parcours";"Ministère chargé du travail et de l'emploi"
"165";"RPT";"accelérer poste transformation";"Ministère chargé de l'Économie et des Finances"
"166";"RPT";"accelérer poste transformation";"La poste"
"167";"RPT";"ans après comptabilite dix engager étape etat générale nouvelle";"Ministère chargé de l'Économie et des Finances"
"168";"RPT";"actions conduire departementalisati mal mayotte préparée prioritaires réforme";"Ministère chargé de l'Outre-mer"
"169";"RPT";"autonomie domicile gees maintien personnes perte";"Ministère chargé de la Santé et des affaires sociales"
"170";"RPT";"fonctionnaires pensions retraite";"Ministère chargé de la Santé et des affaires sociales"
"171";"RPT";"fonctionnaires pensions retraite";"Ministère chargé de l'Économie et des Finances"
"172";"RPT";"alcool consommations contre lutte nocives politiques";" "
"173";"RPT";"alcool consommations contre lutte nocives politiques";"Ministère chargé de la Santé et des affaires sociales"
"174";"RPT";"alcool consommations contre lutte nocives politiques";"Ministère chargé du travail et de l'emploi"
"175";"RPT";"alcool consommations contre lutte nocives politiques";"Ministère chargé de l'Économie et des Finances"
"176";"RPT";"etat genéralisation modernisation numériques publics relations services usagers vers";"Premier Ministre"
"177";"RPT";"collecte entreprises prelèvements simplifier versés";"Ministère chargé de la Santé et des affaires sociales"
"178";"RPT";"collecte entreprises prelèvements simplifier versés";" "
"179";"RPT";"collecte entreprises prelèvements simplifier versés";"Ministère chargé de l'Économie et des Finances"
"180";"Rapport des comptes et de la gestion";"consommation exercices institut national";"Ministère chargé de l'Économie et des Finances"
"181";"Rapport des comptes et de la gestion";"consommation exercices institut national";"Institut national de la consommation"
"182";"Rapport des comptes et de la gestion";"exercices national opera paris";"Ministère chargé de la Culture et de la Communication"
"183";"Rapport des comptes et de la gestion";"exercices national opera paris";"Opéra national de Paris"
"184";"Rapport des comptes et de la gestion";"comedie française";"Ministère chargé de la Culture et de la Communication"
"185";"Rapport des comptes et de la gestion";"comedie française";"Comédie Française"
"186";"Rapport des comptes et de la gestion";"caisse consignations dép exercice forestière gestion societé";"Premier Ministre"
"187";"Rapport des comptes et de la gestion";"gestion immobilière poste";"Premier Ministre"
"188";"Rapport des comptes et de la gestion";"centre cnes spatial toulouse";"Ministère chargé de la Défense et des anciens combattants"
"189";"Rapport des comptes et de la gestion";"bordeaux grand maritime port";"Grand port maritime de Bordeaux"
"190";"Rapport des comptes et de la gestion";"grand havre maritime port";"Grand port maritime du Havre"
"191";"Rapport des comptes et de la gestion";"grand havre maritime port";"Ministère chargé des Transports"
"192";"Rapport des comptes et de la gestion";"autonome paris port";"Ministère chargé des Transports"
"193";"Rapport des comptes et de la gestion";"autonome paris port";"Port autonome de Paris"
"194";"Rapport des comptes et de la gestion";"comptes conseils expertises gestion scet services territoires";"Caisse des dépôts et consignations"
"195";"Rapport des comptes et de la gestion";"national strasbourg the";"Ministère chargé de la Culture et de la Communication"
"196";"Rapport des comptes et de la gestion";"national strasbourg the";"Théâtre national de Strasbourg"
"197";"Rapport des comptes et de la gestion";"colline national the";"Ministère chargé de la Culture et de la Communication"
"198";"Rapport effectué pour le Parlement";"aérien competitivité complexe élaborer etat stratégie transport";"Ministère chargé des Transports"
"199";"Rapport effectué pour le Parlement";"aérien competitivité complexe élaborer etat stratégie transport";"Ministère chargé de l'Économie et des Finances"
"200";"Rapport effectué pour le Parlement";"depenses développement durable efficience fiscales relatives";"Ministère chargé de l'Écologie et du développement durable"
"201";"Rapport effectué pour le Parlement";"enseignement etranger français";"Ministère chargé des affaires étrangères et européennes"
"202";"Rapport effectué pour le Parlement";"domicile hospitalisation";"Ministère chargé de la Santé et des affaires sociales"
"203";"Rapport effectué pour le Parlement";"imagerie medicale";"Ministère chargé de la Santé et des affaires sociales"
"204";"Rapport effectué pour le Parlement";"carte intercommunaux sivom sivu smf syndicats";"Premier Ministre"
"205";"Rapport effectué pour le Parlement";"citoyenneté défense journee";"Ministère chargé de la Défense et des anciens combattants"
"206";"Rapport effectué pour le Parlement";"citoyenneté défense journee";"Ministère chargé de l'Éducation nationale"
"207";"Rapport effectué pour le Parlement";"citoyenneté défense journee";"Premier Ministre"
"208";"Rapport effectué pour le Parlement";"juridique majeurs protection";"Premier Ministre"
"209";"Rapport effectué pour le Parlement";"juridique majeurs protection";"Garde des Sceaux"
"210";"Rapport effectué pour le Parlement";"juridique majeurs protection";"Ministère chargé de la Santé et des affaires sociales"
"211";"Rapport effectué pour le Parlement";"conflits expertise intér matière prevention sanitaire";"Ministère chargé de la Santé et des affaires sociales"
"212";"Rapport effectué pour le Parlement";"opex";"Ministère chargé de la Défense et des anciens combattants"
"213";"Rapport effectué pour le Parlement";"accession aides etat proprieté";"Ministère chargé du logement"
"214";"Rapport effectué pour le Parlement";"credits dispositifs faveur jeunes mobilisés qualification scolaire sortis système";"Ministère chargé du travail et de l'emploi"
"215";"Rapport effectué pour le Parlement";"credits dispositifs faveur jeunes mobilisés qualification scolaire sortis système";"Ministère chargé de l'Éducation nationale"
"216";"Rapport effectué pour le Parlement";"assurance donnees gérées maladie personnelles santé";"Ministère chargé de la Santé et des affaires sociales"
"217";"Rapport effectué pour le Parlement";"air contre lutte politiques pollution publiques";"Ministère chargé de l'Agriculture et de l'Alimentation"
"218";"Rapport effectué pour le Parlement";"air contre lutte politiques pollution publiques";"Ministère chargé de l'Écologie et du développement durable"
"219";"Rapport effectué pour le Parlement";"air contre lutte politiques pollution publiques";"Ministère chargé de la Santé et des affaires sociales"
"220";"Référé";"audiovisuelle communication defense ecpad etablissement production";"Ministère chargé de la Défense et des anciens combattants"
"221";"Référé";"cooperation éducation fonds fonjep jeunesse populaire";"Ministère chargé de la jeunesse"
"222";"Référé";"afitf agence financement france infrastructures transport";"Agence de financement des infrastructures de transport de France"
"223";"Référé";"action développement etat intelligents transports";"Ministère chargé des Transports"
"224";"Référé";"budgetaire construction état fédéral fédération française impact patrimonial projet rugby stade";"Ministère chargé des Sports"
"225";"Référé";"docteurs insertion jeunes professionnelle";"Ministère chargé de l'Enseignement supérieur et de la Recherche"
"226";"Référé";"depense fiscale isf pme";"Ministère chargé de l'Économie et des Finances"
"227";"Référé";"corse dérogatoires fiscaux gestion imp regimes";"Ministère chargé de l'Économie et des Finances"
"228";"Référé";"fonction gestion interieur logements ministère";"Ministère de l'Intérieur"
"229";"Référé";"aide autres avocat financement gestion interventions juridictionnelle";"Garde des Sceaux"
"230";"Référé";"modernisation poste reseau";"Ministère chargé de l'Économie et des Finances"
"231";"Référé";"competitivité politique";"Premier Ministre"
"232";"Référé";"deploiement économiques financiers humaines information ministères ressources sirhius système";"Ministère chargé de l'Économie et des Finances"
"233";"Référé";"douanes douaniers logement masse";"Ministère chargé de l'Économie et des Finances"
"234";"Référé";"contrat conventionnelle fiscal indemnités licenciement regime rupture social travail";"Ministère chargé de l'Économie et des Finances"
"235";"Référé";"amélioration ans deux entretien logements plus reduit taux travaux tva";"Ministère chargé du logement"
"236";"Référé";"caisses conges publics timent travaux";"Ministère chargé du travail et de l'emploi"
"237";"Référé";"assurance comptes gestion mage unedic";"UNEDIC"
"238";"Référé";"assurance comptes gestion mage unedic";"Ministère chargé de l'Économie et des Finances"
"239";"Référé";"interceptions judiciaires plateforme pnij";"Garde des Sceaux"
"240";"Référé";"agence agrasc avoirs confisques gestion recouvrement saisis";"Agence de gestion et de recouvrement des avoirs saisis et confisqués"
"241";"Référé";"administration charge condamnés majeurs penitentiaire prise suivi";"Garde des Sceaux"
"242";"RALFSS";"accentuer assurance atteint biais delà depenses économies effectives maladie national nombreux objectif prix rechercher";"Ministère chargé de la Santé et des affaires sociales"
"243";"RALFSS";"action cadre efficience enjeux fixation fortement majeurs medicaments prix rééquilibrer résultats significatifs soutenabilité toujours";"Ministère chargé de la Santé et des affaires sociales"
"244";"RALFSS";"accès améliorer contenir dépenses dynamique libérale medecine soins spécialité";"Ministère chargé de la Santé et des affaires sociales"
"245";"RALFSS";"accélérer équilibre financières perspectives retour securité situation sociale";"Ministère chargé de la Santé et des affaires sociales"
"246";"RALFSS";"cohérente mettre oeuvre stratégie telémédecine";"Ministère chargé de la Santé et des affaires sociales"
"247";"RALFSS";"dépense distribution efficience gains importante medicaments nécessaires";"Ministère chargé de la Santé et des affaires sociales"
"248";"RALFSS";"dépense distribution efficience gains importante medicaments nécessaires";" "
"249";"RALFSS";"conditions créer durable équilibre financière pilotage securité sociale trajectoire";"Ministère chargé de la Santé et des affaires sociales"
"250";"RALFSS";"activites assurer charge chirurgicales mieux offre prises qualité restructurer soins";"Ministère chargé de la Santé et des affaires sociales"
"251";"RALFSS";"adapter compte étranger insuffisamment outils pris résidents retraites risques spécifiques versees";"Ministère chargé de la Santé et des affaires sociales"
"252";"RALFSS";"familiales familles fiscalité massifs prestations questions récentes reformes suspens transferts";"Ministère chargé de la Santé et des affaires sociales"
"253";"RALFSS";"avis cohérence equilibre exercice patrimonial relatifs sécurité sociale tableau tableaux";"Ministère chargé de la Santé et des affaires sociales"
"254";"RALFSS";"assurance équilibre etablissements financier général impératif maladie médico refonder régime santé sociaux stratégie";"Ministère chargé de la Santé et des affaires sociales"
"255";"RBDE";"budget etat gestion résultats";" "
"256";"RPA T1";"action interieur ministère sociale";"Ministère de l'Intérieur"
"257";"RPA T1";"emploi forces gendarmerie mobiles nationales police";"Ministère de l'Intérieur"
"258";"RPA T1";"accidents amiable indemnisation medicaux victimes";"Ministère chargé de la Santé et des affaires sociales"
"259";"RPA T1";"construire continue contr contre formation fraude lutte politique professionnelle salaries";"Ministère chargé du travail et de l'emploi"
"260";"RPA T1";"fragilisée histoire inachevée museum mutation national vincennes zoo";"Ministère chargé de l'Enseignement supérieur et de la Recherche"
"261";"RPA T1";"fragilisée histoire inachevée museum mutation national vincennes zoo";"Museum national d'histoire naturelle"
"262";"RPA T1";"ambition dilution grande paris projet risque saclay";"Université Paris saclay"
"263";"RPA T1";"ambition dilution grande paris projet risque saclay";"Premier Ministre"
"264";"RPA T1";"ambition dilution grande paris projet risque saclay";"Ministère chargé de l'Enseignement supérieur et de la Recherche"
"265";"RPA T1";"ambition dilution grande paris projet risque saclay";"Etablissement public d'aménagement Paris Saclay"
"266";"RPA T1";"aeriens couteux douane échecs imposer moyens mutualisation navals renouvellement répétés";"Ministère chargé de l'Économie et des Finances"
"267";"RPA T1";"agriculture chambres efficace façonner reseau";"Ministère chargé de l'Agriculture et de l'Alimentation"
"268";"RPA T2";"agence biodiversité française integration onema réussir";"Ministère chargé de l'Écologie et du développement durable"
"269";"RPA T2";"accompagnement accueil définir gens inegaux lents objectifs progrès voyage";"Premier Ministre"
"270";"RPA T2";"action aviation civile direction élevé genérale immobilisme persistant sociale";"Ministère chargé des Transports"
"271";"RPA T2";"demandes etranger externalisation traitement visa";"Ministère chargé des affaires étrangères et européennes"
"272";"RPA T2";"domicile hebergement personnes préciser progrès résultats stratégie";"Premier Ministre"
"273";"RPA T2";"chirurgiens dentistes national ordre";"Ministère chargé de la Santé et des affaires sociales"
"274";"RPA T2";"cipav";"Ministère chargé de la Santé et des affaires sociales"
"275";"RPA T2";"attractivité bilan effets grands inégale insuffisante maritimes mise modestes oeuvre ports reforme";"Ministère chargé des Transports"
"276";"RPA T2";"ambition autoroutes ferroviaires peine realiser";"Ministère chargé des Transports"
"277";"RPT";"assurance avenir maladie";"Ministère chargé de la Santé et des affaires sociales"
"278";"RPT";"assurance avenir maladie";" "
"279";"RPT";"immobilière justice politique";"Garde des Sceaux"
"280";"RPT";"accès défavorisés defi face logement modestes publics social";"Ministère chargé du logement"
"281";"RPT";"deconcentrés etat services";"Premier Ministre"
"282";"RPT";"deconcentrés etat services";"Ministère chargé de la Santé et des affaires sociales"
"283";"RPT";"deconcentrés etat services";"Agence de l'environnement et de la maîtrise de l'énergie"
"284";"RPT";"deconcentrés etat services";"Ministère chargé de l'Enseignement supérieur et de la Recherche"
"285";"RPT";"deconcentrés etat services";"Ministère de l'Intérieur"
